"year","word","value","company"
2022,"warns",-2,"Tesla"
2022,"prevent",-1,"Tesla"
2022,"stops",-1,"Tesla"
2022,"bias",-1,"Tesla"
2022,"wins",4,"Tesla"
2022,"approval",2,"Tesla"
2022,"awaited",-1,"Tesla"
2022,"penalty",-2,"Tesla"
2022,"racism",-3,"Tesla"
2022,"loom",-1,"Tesla"
2022,"insult",-2,"Tesla"
2022,"risks",-2,"Tesla"
2022,"cut",-1,"Tesla"
2022,"safe",1,"Tesla"
2022,"safety",1,"Tesla"
2022,"expands",1,"Tesla"
2022,"trouble",-2,"Tesla"
2022,"hurt",-2,"Tesla"
2022,"increase",1,"Tesla"
2022,"accuses",-2,"Tesla"
2022,"shares",1,"Tesla"
2022,"strong",2,"Tesla"
2022,"retreat",-1,"Tesla"
2022,"cuts",-1,"Tesla"
2022,"demand",-1,"Tesla"
2022,"pay",-1,"Tesla"
2022,"pay",-1,"Tesla"
2022,"helps",2,"Tesla"
2022,"thwart",-2,"Tesla"
2022,"lawsuits",-2,"Tesla"
2022,"distraction",-2,"Tesla"
2022,"aggravate",-2,"Tesla"
2022,"troubles",-2,"Tesla"
2022,"bad",-3,"Tesla"
2023,"cuts",-1,"Tesla"
2023,"demand",-1,"Tesla"
2023,"cutting",-1,"Tesla"
2023,"charged",-3,"Tesla"
2023,"murder",-2,"Tesla"
2023,"solid",2,"Tesla"
2023,"justice",2,"Tesla"
2023,"lawsuit",-2,"Tesla"
2023,"fired",-2,"Tesla"
2023,"pay",-1,"Tesla"
2023,"pay",-1,"Tesla"
2023,"racist",-3,"Tesla"
2023,"cut",-1,"Tesla"
2023,"risks",-2,"Tesla"
2023,"warns",-2,"Tesla"
2023,"won",3,"Tesla"
2023,"demand",-1,"Tesla"
2023,"cuts",-1,"Tesla"
2023,"demand",-1,"Tesla"
2023,"strike",-1,"Tesla"
2023,"benefits",2,"Tesla"
2023,"risks",-2,"Tesla"
2023,"lawsuit",-2,"Tesla"
2023,"accuses",-2,"Tesla"
2023,"strike",-1,"Tesla"
2023,"helping",2,"Tesla"
2023,"cuts",-1,"Tesla"
2023,"expand",1,"Tesla"
2023,"strike",-1,"Tesla"
2023,"expand",1,"Tesla"
2023,"dispute",-2,"Tesla"
2023,"strike",-1,"Tesla"
2023,"clash",-2,"Tesla"
2014,"unhealthy",-2,"CVS"
2014,"stop",-1,"CVS"
2014,"stop",-1,"CVS"
2014,"pay",-1,"CVS"
2014,"pay",-1,"CVS"
2015,"strikes",-1,"CVS"
2015,"agrees",1,"CVS"
2015,"accuse",-2,"CVS"
2015,"blocks",-1,"CVS"
2015,"care",2,"CVS"
2015,"cut",-1,"CVS"
2017,"landmark",2,"CVS"
2017,"benefit",2,"CVS"
2017,"improve",2,"CVS"
2017,"care",2,"CVS"
2018,"refused",-2,"CVS"
2018,"approved",2,"CVS"
2019,"rejected",-1,"CVS"
2020,"hate",-3,"CVS"
2020,"errors",-2,"CVS"
2020,"poor",-2,"CVS"
2020,"flu",-2,"CVS"
2021,"super",3,"CVS"
2021,"crisis",-3,"CVS"
2022,"pay",-1,"CVS"
2023,"legal",1,"CVS"
2023,"protesting",-2,"CVS"
2014,"troubled",-2,"Walt Disney"
2014,"success",2,"Walt Disney"
2014,"strong",2,"Walt Disney"
2014,"encourage",2,"Walt Disney"
2014,"inspired",2,"Walt Disney"
2014,"win",4,"Walt Disney"
2014,"cuts",-1,"Walt Disney"
2014,"reaching",1,"Walt Disney"
2014,"top",2,"Walt Disney"
2014,"top",2,"Walt Disney"
2014,"helps",2,"Walt Disney"
2014,"hard",-1,"Walt Disney"
2014,"gains",2,"Walt Disney"
2014,"supporters",1,"Walt Disney"
2014,"hopes",2,"Walt Disney"
2014,"dick",-4,"Walt Disney"
2014,"lost",-3,"Walt Disney"
2014,"top",2,"Walt Disney"
2014,"success",2,"Walt Disney"
2014,"forgotten",-1,"Walt Disney"
2014,"hopes",2,"Walt Disney"
2014,"tops",2,"Walt Disney"
2014,"strong",2,"Walt Disney"
2014,"success",2,"Walt Disney"
2014,"promote",1,"Walt Disney"
2014,"focused",2,"Walt Disney"
2015,"perfect",3,"Walt Disney"
2015,"criticism",-2,"Walt Disney"
2015,"gains",2,"Walt Disney"
2015,"anti",-1,"Walt Disney"
2015,"top",2,"Walt Disney"
2015,"cancels",-1,"Walt Disney"
2015,"increase",1,"Walt Disney"
2015,"disappoints",-2,"Walt Disney"
2015,"shares",1,"Walt Disney"
2015,"worry",-3,"Walt Disney"
2015,"gains",2,"Walt Disney"
2015,"love",3,"Walt Disney"
2015,"visionary",3,"Walt Disney"
2015,"crazy",-2,"Walt Disney"
2015,"crying",-2,"Walt Disney"
2015,"gun",-1,"Walt Disney"
2015,"gains",2,"Walt Disney"
2015,"attracts",1,"Walt Disney"
2015,"support",2,"Walt Disney"
2015,"looms",-1,"Walt Disney"
2015,"cutting",-1,"Walt Disney"
2015,"struggles",-2,"Walt Disney"
2016,"lawsuits",-2,"Walt Disney"
2016,"arrested",-3,"Walt Disney"
2016,"terror",-3,"Walt Disney"
2016,"gun",-1,"Walt Disney"
2016,"arrest",-2,"Walt Disney"
2016,"accident",-2,"Walt Disney"
2016,"resigns",-1,"Walt Disney"
2016,"demand",-1,"Walt Disney"
2016,"success",2,"Walt Disney"
2016,"favorite",2,"Walt Disney"
2016,"war",-2,"Walt Disney"
2016,"tops",2,"Walt Disney"
2016,"care",2,"Walt Disney"
2016,"won",3,"Walt Disney"
2016,"gloomy",-2,"Walt Disney"
2016,"bad",-3,"Walt Disney"
2016,"helps",2,"Walt Disney"
2016,"medal",3,"Walt Disney"
2016,"broke",-1,"Walt Disney"
2016,"cuts",-1,"Walt Disney"
2016,"violate",-2,"Walt Disney"
2017,"anti",-1,"Walt Disney"
2017,"endorsement",2,"Walt Disney"
2017,"censors",-2,"Walt Disney"
2017,"agrees",1,"Walt Disney"
2017,"fine",2,"Walt Disney"
2017,"ugly",-3,"Walt Disney"
2017,"firing",-2,"Walt Disney"
2017,"risks",-2,"Walt Disney"
2017,"attractions",2,"Walt Disney"
2017,"cuts",-1,"Walt Disney"
2017,"challenge",-1,"Walt Disney"
2017,"fresh",1,"Walt Disney"
2017,"treasure",2,"Walt Disney"
2017,"marvel",3,"Walt Disney"
2017,"pay",-1,"Walt Disney"
2017,"reaches",1,"Walt Disney"
2017,"agreement",1,"Walt Disney"
2017,"hardship",-2,"Walt Disney"
2017,"condemn",-2,"Walt Disney"
2017,"fit",1,"Walt Disney"
2017,"assets",2,"Walt Disney"
2017,"ban",-2,"Walt Disney"
2017,"ban",-2,"Walt Disney"
2017,"tension",-1,"Walt Disney"
2017,"share",1,"Walt Disney"
2017,"retreat",-1,"Walt Disney"
2017,"expand",1,"Walt Disney"
2017,"favor",2,"Walt Disney"
2017,"bold",2,"Walt Disney"
2018,"looming",-1,"Walt Disney"
2018,"safety",1,"Walt Disney"
2018,"drop",-1,"Walt Disney"
2018,"disturb",-2,"Walt Disney"
2018,"loss",-3,"Walt Disney"
2018,"smile",2,"Walt Disney"
2018,"uneasy",-2,"Walt Disney"
2018,"paradise",3,"Walt Disney"
2018,"fun",4,"Walt Disney"
2018,"assets",2,"Walt Disney"
2018,"adventures",2,"Walt Disney"
2018,"crash",-2,"Walt Disney"
2018,"strong",2,"Walt Disney"
2018,"join",1,"Walt Disney"
2018,"looms",-1,"Walt Disney"
2018,"easy",1,"Walt Disney"
2018,"clears",1,"Walt Disney"
2018,"war",-2,"Walt Disney"
2018,"leave",-1,"Walt Disney"
2018,"smart",1,"Walt Disney"
2018,"fight",-1,"Walt Disney"
2018,"justice",2,"Walt Disney"
2018,"approves",2,"Walt Disney"
2018,"assets",2,"Walt Disney"
2018,"fallen",-2,"Walt Disney"
2018,"fight",-1,"Walt Disney"
2018,"battle",-1,"Walt Disney"
2018,"assets",2,"Walt Disney"
2018,"war",-2,"Walt Disney"
2018,"reach",1,"Walt Disney"
2018,"fight",-1,"Walt Disney"
2018,"awkward",-2,"Walt Disney"
2018,"battle",-1,"Walt Disney"
2018,"beating",-1,"Walt Disney"
2018,"battle",-1,"Walt Disney"
2018,"celebrates",3,"Walt Disney"
2018,"marvel",3,"Walt Disney"
2018,"fire",-2,"Walt Disney"
2018,"wins",4,"Walt Disney"
2018,"approval",2,"Walt Disney"
2019,"killed",-3,"Walt Disney"
2019,"crash",-2,"Walt Disney"
2019,"top",2,"Walt Disney"
2019,"unequal",-1,"Walt Disney"
2019,"pay",-1,"Walt Disney"
2019,"attack",-1,"Walt Disney"
2019,"pay",-1,"Walt Disney"
2019,"warns",-2,"Walt Disney"
2019,"difficult",-1,"Walt Disney"
2019,"euphoria",3,"Walt Disney"
2019,"stop",-1,"Walt Disney"
2019,"axed",-1,"Walt Disney"
2019,"pay",-1,"Walt Disney"
2019,"criticism",-2,"Walt Disney"
2019,"gross",-2,"Walt Disney"
2019,"unfair",-2,"Walt Disney"
2019,"matters",1,"Walt Disney"
2019,"disappoint",-2,"Walt Disney"
2019,"haunted",-2,"Walt Disney"
2019,"marvel",3,"Walt Disney"
2019,"invite",1,"Walt Disney"
2019,"drag",-1,"Walt Disney"
2019,"success",2,"Walt Disney"
2019,"stops",-1,"Walt Disney"
2019,"wins",4,"Walt Disney"
2019,"exposed",-1,"Walt Disney"
2019,"unmatched",1,"Walt Disney"
2019,"ambitious",2,"Walt Disney"
2019,"error",-2,"Walt Disney"
2019,"worth",2,"Walt Disney"
2019,"kiss",2,"Walt Disney"
2020,"apologizes",-1,"Walt Disney"
2020,"pay",-1,"Walt Disney"
2020,"war",-2,"Walt Disney"
2020,"dream",1,"Walt Disney"
2020,"true",2,"Walt Disney"
2020,"sick",-2,"Walt Disney"
2020,"die",-3,"Walt Disney"
2020,"united",1,"Walt Disney"
2020,"top",2,"Walt Disney"
2020,"stricken",-2,"Walt Disney"
2020,"worse",-3,"Walt Disney"
2020,"safety",1,"Walt Disney"
2020,"hug",2,"Walt Disney"
2020,"attract",1,"Walt Disney"
2020,"expands",1,"Walt Disney"
2020,"postpones",-1,"Walt Disney"
2020,"drop",-1,"Walt Disney"
2020,"excitement",3,"Walt Disney"
2020,"cuts",-1,"Walt Disney"
2020,"insensitive",-2,"Walt Disney"
2020,"worst",-3,"Walt Disney"
2020,"true",2,"Walt Disney"
2020,"warnings",-3,"Walt Disney"
2020,"racist",-3,"Walt Disney"
2020,"comfort",2,"Walt Disney"
2020,"honor",2,"Walt Disney"
2020,"reaches",1,"Walt Disney"
2021,"lenient",1,"Walt Disney"
2021,"fan",3,"Walt Disney"
2021,"pay",-1,"Walt Disney"
2021,"pay",-1,"Walt Disney"
2021,"agree",1,"Walt Disney"
2021,"ruining",-2,"Walt Disney"
2021,"tears",-2,"Walt Disney"
2021,"winner",4,"Walt Disney"
2021,"charged",-3,"Walt Disney"
2021,"benefit",2,"Walt Disney"
2021,"join",1,"Walt Disney"
2021,"growing",1,"Walt Disney"
2021,"reaches",1,"Walt Disney"
2021,"pay",-1,"Walt Disney"
2021,"marvel",3,"Walt Disney"
2021,"top",2,"Walt Disney"
2021,"creative",2,"Walt Disney"
2021,"cheers",2,"Walt Disney"
2021,"tears",-2,"Walt Disney"
2021,"comfort",2,"Walt Disney"
2021,"growth",2,"Walt Disney"
2021,"pressure",-1,"Walt Disney"
2021,"ban",-2,"Walt Disney"
2021,"leave",-1,"Walt Disney"
